Player,Salary,Signed Using,Guaranteed,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Zhou Qi,815615,MLE,"$815,615",C,22,HOU,16,87,0.6,0.303,0.593,0.37,6.5,16.8,11.7,1.5,1.1,6.8,18.2,19.5,-0.4,0.1,-0.2,-0.121,-10.6,0.5,-10.1,-0.2
Zaza Pachulia,3477600,,"$3,477,600",C,33,GSW,66,937,16.8,0.608,0.004,0.337,11,25,18.5,15.4,1.9,1.3,19.3,17.2,1.7,1.4,3.1,0.16,-0.6,1.3,0.8,0.7
Zach Randolph,12307692,Cap space,"$24,000,000",PF,36,SAC,59,1508,17.3,0.529,0.193,0.14,7,23.8,15,14.9,1.4,0.6,12.5,27.6,0.3,1.1,1.4,0.046,-0.6,-1.3,-1.9,0
Zach LaVine,3202217,1st Round Pick,"$3,202,217",SG,22,CHI,24,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.4,0.027,-0.7,-2,-2.6,-0.1
Zach Collins,3057240,1st Round Pick,"$6,686,160",C,20,POR,62,979,8.2,0.487,0.387,0.146,4.9,18.3,11.7,7.3,0.8,2.5,15.6,15.5,-0.4,1.2,0.8,0.038,-3.7,0.9,-2.9,-0.2
Yogi Ferrell,1312611,Minimum Salary,"$1,312,611",SG,24,DAL,79,2238,11.5,0.543,0.489,0.141,1.3,11.3,6.1,13.3,1.4,0.3,9.1,17,1.6,1.6,3.1,0.067,-0.4,-0.5,-0.9,0.6
Xavier Silas,74159,,$0,SG,30,BOS,2,7,-4.9,0,0.667,0,15.9,15.4,15.7,0,7.2,0,0,19.2,-0.1,0,0,-0.251,-12.6,-0.7,-13.3,0
Xavier Rathan-Mayes,46080,,$0,SG,23,MEM,5,118,0.9,0.315,0.333,0.214,0,5,2.5,23.2,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.169,-8.7,-1.9,-10.6,-0.3
Xavier Munford,0,,$0,SG,25,MIL,6,21,-2.1,0.218,0.333,0.333,5.6,0,2.8,24.7,2.4,0,22.5,19.2,-0.1,0,-0.1,-0.197,-9.4,-4.4,-13.8,-0.1
Wilson Chandler,12016854,,"$12,016,854",SF,30,DEN,70,2200,11.1,0.543,0.39,0.186,5,14,9.5,9.7,0.9,1.4,12,14.6,2,1,3.1,0.067,-0.4,-0.6,-1,0.5
Willy Hernangomez,1435750,Cap Space,"$2,980,701",C,23,TOT,45,430,20.6,0.592,0.075,0.555,13.6,25.2,19.3,11,1.8,2.8,15.4,21.7,0.8,0.6,1.4,0.156,-0.1,0.6,0.5,0.3
Willy Hernangomez,1435750,Cap Space,"$2,980,701",C,23,CHO,19,197,25,0.589,0.092,0.815,17.2,29.8,23.4,7.1,2,3,7.3,21,0.7,0.3,1.1,0.258,1.4,0.4,1.8,0.2
Willy Hernangomez,1435750,Cap Space,"$2,980,701",C,23,NYK,26,233,16.9,0.595,0.062,0.346,10.5,21.3,16,14.4,1.7,2.6,21.8,22.3,0.1,0.3,0.3,0.069,-1.4,0.8,-0.6,0.1
Willie Reed,1577230,,"$1,577,230",C,27,LAC,39,419,19.4,0.669,0.017,0.458,9.3,21.9,15.7,3.3,1,4.4,11.6,16.8,1,0.5,1.5,0.175,-0.8,0.1,-0.7,0.1
Willie Reed,1577230,,"$1,577,230",C,27,TOT,42,428,19.2,0.671,0.017,0.455,9.1,21.7,15.5,3.6,1,4.3,11.6,16.6,1,0.5,1.6,0.175,-0.8,0,-0.8,0.1
Willie Reed,1577230,,"$1,577,230",C,27,DET,3,9,8.7,1,0,0,0,12.5,6.1,15.9,0,0,0,4.9,0,0,0,0.188,-0.3,-2.1,-2.4,0
Willie Cauley-Stein,3704160,1st round pick,"$8,401,035",C,24,SAC,70,1943,17.1,0.523,0.017,0.32,7.2,21.7,14.1,13.5,1.9,3.1,11.3,21.6,1.3,2,3.3,0.082,-1.6,1.6,0,1
Will Barton,3533333,Bird Rights,"$3,533,333",SG,27,DEN,77,2530,15.9,0.557,0.409,0.221,2.9,14.2,8.6,18.5,1.6,1.6,11.8,20.5,3.9,1.7,5.6,0.106,1.4,-0.6,0.8,1.8
Wesley Matthews,17884176,Cap Space,"$17,884,176",SF,31,DAL,63,2131,11.4,0.541,0.577,0.145,1.4,9.1,5.2,12.3,1.8,0.7,10.1,17.6,1,1.7,2.7,0.061,0.2,-0.1,0.2,1.2
Wesley Johnson,5881260,Cap Space,"$5,881,260",SF,30,LAC,70,1422,9.8,0.512,0.484,0.157,2.1,14,8.1,5.3,2.5,3.6,12.6,13,-0.1,1.8,1.7,0.056,-2.2,2.5,0.3,0.8
Wesley Iwundu,1050000,,"$2,428,242",SF,23,ORL,58,902,7.6,0.464,0.205,0.215,4,11.8,7.9,7.9,1.7,1,11.6,11.8,-0.1,0.6,0.5,0.027,-4,0.4,-3.6,-0.4
Wayne Selden,1312611,,"$2,085,087",SG,23,MEM,35,692,11.8,0.551,0.454,0.219,2.6,6.9,4.7,16.1,1.3,0.7,15.5,22.7,0.1,0.2,0.4,0.025,-0.7,-3.2,-4,-0.3
Wayne Ellington,6270000,Cap Space,"$6,270,000",SG,30,MIA,74,1962,12.1,0.582,0.83,0.113,1.2,10.9,6.1,6,1.3,0.3,6.9,17.3,2.3,1.9,4.1,0.101,1.6,-1.7,-0.1,0.9
Wade Baldwin,1874400,,"$1,874,400",PG,21,POR,4,29,17,0.73,0.143,1.286,0,18.6,9.4,10.7,0,0,15.4,19.6,0.1,0,0.1,0.177,-0.6,-2.6,-3.1,0
Vince Hunter,50000,,"$50,000",PF,23,MEM,4,7,35.9,0.6,0,0,32.3,17,24.8,0,0,13.4,16.7,38.5,0,0,0,0.099,-3.1,-5.8,-9,0
Vince Carter,8000000,Cap space,"$8,000,000",SF,41,SAC,55,971,10.6,0.519,0.584,0.126,1.9,14.9,8.1,9.3,2.1,2.5,10.7,14.7,0.2,0.8,1,0.051,-1.6,0.4,-1.3,0.2
Victor Oladipo,21000000,1st Round Pick,"$84,000,000",SG,25,IND,72,2471,23.1,0.576,0.324,0.28,2.1,15.1,8.7,21,3.4,2,12.6,30.2,4.2,3.8,8,0.156,3.5,1.2,4.7,4.2
Vander Blue,50000,,"$50,000",SG,25,LAL,5,45,-1.8,0.255,0.4,0.4,0,2.4,1.2,8.1,1.1,0,33.8,8.4,-0.1,0,-0.1,-0.103,-8.7,-1.4,-10.1,-0.1
Udonis Haslem,2328652,Minimum Salary,"$2,328,652",C,37,MIA,14,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0,2.4,11.2,11.2,-0.1,0.1,-0.1,-0.057,-7.2,-0.4,-7.5,-0.1
Tyus Jones,1471382,1st Round pick,"$3,915,435",PG,21,MIN,78,1404,14.1,0.574,0.372,0.247,1.3,9.4,5.3,20.9,3.2,0.4,13.9,12.7,2.3,1.1,3.4,0.116,0.8,-0.3,0.5,0.9
Tyson Chandler,13000000,Cap Space,"$26,585,000",C,35,PHO,46,1151,14.3,0.657,0,0.503,12.2,26.9,19.4,6.6,0.7,1.9,20.5,10.6,1.9,0.8,2.6,0.11,-1.4,1,-0.4,0.5
Tyrone Wallace,0,,$0,PG,23,LAC,26,732,10.6,0.519,0.156,0.332,2.6,11.5,7.1,11.5,1.6,1.5,13,16.4,0.3,0.6,0.8,0.055,-2.1,0.5,-1.5,0.1
Tyreke Evans,3290000,Bi-annual Exception,"$3,290,000",PG,28,MEM,52,1607,21.2,0.561,0.354,0.258,3.1,16.3,9.5,31.5,1.8,1,11.5,28.5,3,1.2,4.3,0.128,4.5,-0.7,3.7,2.3
Tyler Zeller,1709538,,"$1,709,538",C,28,MIL,20,322,17,0.58,0.022,0.189,14.4,18.6,16.5,7.4,1.1,3.2,9.3,15.1,0.7,0.3,1,0.152,-0.2,-0.3,-0.5,0.1
Tyler Zeller,1709538,,"$1,709,538",C,28,TOT,62,1025,15.9,0.585,0.088,0.241,11,19.6,15.2,6.8,0.7,2.5,11.3,17,1.7,0.8,2.5,0.119,-1.3,-0.5,-1.8,0
Tyler Zeller,1709538,,"$1,709,538",C,28,BRK,42,703,15.4,0.587,0.114,0.262,9.4,20,14.6,6.5,0.6,2.2,12.1,17.9,1,0.5,1.5,0.104,-1.8,-0.6,-2.4,-0.1
Tyler Ulis,1312611,Cap Space,"$1,312,611",PG,22,PHO,68,1563,9.7,0.459,0.267,0.183,1.5,6.8,4.1,27.5,2,0.3,17.6,18.2,-0.8,0.5,-0.4,-0.011,-3,-2.3,-5.4,-1.3
Tyler Lydon,1579440,1st Round Pick,"$3,454,080",PF,21,DEN,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.016,-5.6,-0.9,-6.5,0
Tyler Johnson,5881260,Cap Space,"$25,126,630",PG,25,MIA,69,1964,13,0.55,0.46,0.186,1.8,11.5,6.6,12.3,1.4,1.4,9.4,18.6,1.9,2.2,4,0.099,-0.1,-0.2,-0.4,0.8
Tyler Ennis,1524305,Minimum Salary,"$1,524,305",PG,23,LAL,50,584,10.4,0.459,0.265,0.108,2.9,11.6,7.3,21.9,1.9,1.4,13.4,16.3,0,0.6,0.6,0.052,-3.1,-0.2,-3.3,-0.2
Tyler Dorsey,815615,Minimum Salary,"$2,193,857",SG,21,ATL,53,897,9.3,0.478,0.52,0.157,2.1,13.2,7.7,13.2,0.9,0.4,8.8,20,-0.2,0.4,0.1,0.008,-2.2,-2.4,-4.6,-0.6
Tyler Cavanaugh,679919,Two-Way Converted,"$729,919",PF,23,ATL,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.9,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1,0.1
Troy Williams,1471382,,"$2,085,087",SF,23,TOT,21,307,15.2,0.544,0.349,0.275,8,14.8,11.4,7.8,3.2,1.1,13.5,20.1,0.2,0.4,0.5,0.085,-0.1,0.1,0,0.2
Troy Williams,1471382,,"$2,085,087",SF,23,NYK,17,290,16.2,0.572,0.33,0.27,8.1,14.5,11.3,7.7,3.2,1.2,13.9,19.5,0.3,0.3,0.6,0.105,0.6,0.3,0.9,0.2
Troy Williams,1471382,,"$2,085,087",SF,23,HOU,4,17,-2.4,0.242,0.556,0.333,6.7,19.8,13.3,8.5,2.9,0,8.8,29.4,-0.1,0,-0.1,-0.26,-11.6,-2.7,-14.3,-0.1
Troy Daniels,3408520,Cap Space,"$6,667,060",SG,26,PHO,78,1609,10,0.585,0.798,0.112,0.8,7.7,4.2,4.6,0.7,0.3,8.3,17.2,1.5,0,1.5,0.045,0.8,-3.7,-2.8,-0.3
Tristan Thompson,16400000,Bird Rights,"$52,408,695",C,26,CLE,49,1017,13.7,0.573,0,0.349,13.3,23.6,18.5,4.2,0.8,1.4,12.2,12.5,1.7,0.7,2.4,0.115,-1.6,-0.7,-2.3,-0.1
Trey McKinney-Jones,46080,,$0,SG,27,IND,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.001,-5.7,-0.1,-5.9,0
Trey Lyles,2441400,1st round pick,"$5,805,649",PF,22,DEN,70,1366,18,0.589,0.398,0.267,4.5,23.8,14.2,10.1,1.1,2.1,9,21.2,2.6,1.2,3.8,0.133,0.6,-1.4,-0.8,0.4
Trey Burke,784160,Minimum Salary,"$784,160",PG,25,NYK,32,648,22.8,0.576,0.262,0.133,2.1,8,5.1,38.1,1.5,0.5,8.8,25.9,2,0.3,2.3,0.167,5.3,-3.3,2,0.7
Trevor Booker,9125000,,"$9,125,000",PF,30,TOT,64,1085,14.8,0.563,0.089,0.275,10.8,18.7,14.8,11,1.2,1.5,14.1,16.5,1.5,1.2,2.7,0.12,-1.1,0.6,-0.5,0.4
Trevor Booker,9125000,,"$9,125,000",PF,30,PHI,33,494,14.6,0.618,0.064,0.358,10.7,15.8,13.3,7.6,1.6,1.9,13.7,12.7,1,0.7,1.7,0.163,-0.7,1.4,0.7,0.3
Trevor Booker,9125000,,"$9,125,000",PF,30,BRK,18,395,15.5,0.536,0.08,0.287,10.1,22.1,16,16.3,1,0.9,15.1,21.8,0.3,0.3,0.6,0.071,-1.6,0.2,-1.4,0.1
Trevor Booker,9125000,,"$9,125,000",PF,30,IND,13,196,13.8,0.524,0.158,0.088,12.8,19.5,16.2,8.6,0.8,1.8,11.9,15.3,0.3,0.2,0.4,0.109,-1.2,-0.3,-1.5,0
Trevor Ariza,7420912,Bird Rights,"$7,420,912",SF,32,HOU,64,2179,12.1,0.573,0.713,0.143,1.7,13,7.4,6.9,2.1,0.5,7,14.4,2.7,2.6,5.3,0.117,1,0.6,1.7,2
Treveon Graham,1312611,Minimum Salary,"$1,312,611",SG,24,CHO,63,1050,9,0.553,0.439,0.267,4.2,8.3,6.2,7.9,1.5,0.2,9.9,11.3,1,0.7,1.7,0.079,-0.6,-0.4,-1,0.3
Travis Wear,148318,,$0,SF,27,LAL,13,172,9.8,0.562,0.719,0.14,0,18.5,9.3,3.3,0.8,1.9,6.2,15.9,0.1,0.2,0.3,0.088,-2,-1.9,-4,-0.1
Torrey Craig,0,,$0,SF,27,DEN,35,586,10.3,0.549,0.406,0.263,7.5,15.8,11.6,5.3,0.8,1.6,11.4,12.4,0.6,0.3,0.9,0.073,-1.4,-1.3,-2.7,-0.1
Tony Snell,9821429,Cap space,"$31,821,429",SG,26,MIL,71,1955,8.4,0.584,0.63,0.116,0.5,7.3,4,6.5,1.2,1.1,7.7,10.5,1.6,0.7,2.3,0.056,-0.4,-1.3,-1.7,0.2
Tony Parker,15453126,Bird Rights,"$15,453,126",PG,35,SAS,52,1020,13.1,0.499,0.094,0.198,0.6,9.3,4.9,29,1.4,0.1,13.4,20.6,0.4,1.1,1.5,0.072,-2.1,-1.6,-3.8,-0.5
Tony Bradley,1414920,1st Round Pick,"$3,094,440",C,20,UTA,9,29,9.5,0.337,0.091,0.182,15.9,27.2,21.6,5,0,0,0,18.5,0,0,0,0.03,-6.6,-3.1,-9.7,-0.1
Tony Allen,2116955,,"$2,116,955",SF,36,NOP,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.4,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.016,-3.9,-1.3,-5.2,-0.2
Tomas Satoransky,3000000,Cap Space,"$6,129,187",SG,26,WAS,69,1535,15.4,0.618,0.265,0.27,4.7,11,7.8,25.1,1.6,0.8,16.4,13.7,3.5,1.2,4.7,0.147,1.3,-0.3,1,1.2
Tobias Harris,16000000,Bird Rights,"$30,800,000",PF,25,TOT,76,2546,17.4,0.569,0.369,0.178,2.4,15.6,8.9,11.6,1.3,1.1,7.2,23.2,4.3,2.5,6.7,0.127,1.7,-0.7,1,1.9
Tobias Harris,16000000,Bird Rights,"$30,800,000",PF,25,LAC,28,983,18.4,0.576,0.336,0.157,2.3,16.5,9.5,14.2,1.6,1.6,8.7,23.3,1.7,0.9,2.6,0.128,2.1,0,2.1,1
Tobias Harris,16000000,Bird Rights,"$30,800,000",PF,25,DET,48,1563,16.7,0.564,0.389,0.192,2.5,15,8.6,10,1.1,0.8,6.2,23.2,2.6,1.5,4.1,0.127,1.4,-1.2,0.2,0.9
Timothe Luwawu-Cabarrot,1386600,1st Round pick,"$2,931,551",SF,22,PHI,52,807,7,0.511,0.592,0.217,1.9,7.5,4.8,9.4,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.6,-0.5
Timofey Mozgov,15280000,Cap Space,"$48,000,000",C,31,BRK,28,339,10.2,0.589,0.212,0.294,8.7,18.7,13.6,3.6,0.7,2.4,24.4,16.2,-0.1,0.3,0.2,0.026,-4.8,-0.6,-5.4,-0.3
Tim Quarterman,0,,$0,SG,23,HOU,2,6,13.6,0.5,0.5,0,0,37.4,18.8,26,0,0,0,14.7,0,0,0,0.16,-1.4,-0.4,-1.8,0
Tim Hardaway,16500000,Cap space,"$51,975,000",SG,25,NYK,56,1856,14.4,0.531,0.476,0.209,1.9,11.2,6.6,12.5,1.6,0.5,9,23.8,1.5,1,2.5,0.065,1.6,-1.9,-0.2,0.8
Tim Frazier,2000000,Room exception,"$2,000,000",PG,27,WAS,56,807,11.2,0.477,0.335,0.183,2.5,12.7,7.7,31.4,2.6,0.8,23.7,12.7,0.4,0.9,1.3,0.079,-2.3,0.1,-2.2,0
Thon Maker,2684160,1st Round pick,"$5,483,880",C,20,MIL,71,1205,10.5,0.502,0.326,0.293,7.3,14.4,10.9,5.3,1.6,3.7,10.8,14.6,0.4,1.1,1.5,0.061,-2.5,0.1,-2.4,-0.1
Thomas Bryant,815615,Minimum Salary,"$815,615",C,20,LAL,11,34,7.7,0.473,0.556,0.667,3.2,15.6,9.4,7.8,0,0,7.9,15.8,0,0,0,0.037,-3.8,-3.3,-7.1,0
Thaddeus Young,14796348,Bird Rights,"$14,796,348",PF,29,IND,78,2544,14.7,0.528,0.212,0.104,7.9,14.1,11.1,8.4,2.5,1.2,10.5,17.3,2.1,3.1,5.2,0.099,0.1,1.3,1.4,2.2
Thabo Sefolosha,5250000,Cap space,"$5,250,000",SF,33,UTA,38,806,15.9,0.591,0.35,0.225,4.1,18.5,11.4,6.4,3.2,1.3,10.2,16.4,1,1.6,2.6,0.153,-0.3,2.2,1.8,0.8
Terry Rozier,1988520,1st round pick,"$5,038,910",PG,23,BOS,77,1980,15.4,0.524,0.499,0.188,3.4,16.2,9.9,17,2,0.7,8,20.5,2.3,3.3,5.6,0.135,1,1,2,2
Terrence Ross,10500000,Rookie scale extension,"$21,000,000",SG,26,ORL,22,576,10.3,0.515,0.48,0.198,1.9,11.6,6.7,8.9,2.3,1.2,11.5,16.6,-0.1,0.5,0.5,0.038,-1.8,0.1,-1.7,0
Terrance Ferguson,1785000,1st Round Pick,"$3,903,840",SG,19,OKC,59,728,7,0.532,0.692,0.063,2.8,3.9,3.3,3.2,1.6,1.2,6.3,10.3,0.5,0.5,1.1,0.07,-1.5,-1.3,-2.8,-0.1
Taurean Waller-Prince,2422560,1st Round pick,"$4,949,400",SF,23,ATL,79,2359,12.3,0.544,0.463,0.184,2.2,15.4,8.8,13.4,1.7,1.5,15.5,21.7,-0.3,1.9,1.6,0.032,-1.1,0,-1.1,0.5
Tarik Black,3290000,Bi-annual Exception,"$3,290,000",C,26,HOU,48,474,14.9,0.589,0.078,0.478,14.4,19.9,17.1,3.8,2.1,4.7,18.7,15.9,0.6,0.9,1.4,0.144,-2.6,2,-0.5,0.2
Taj Gibson,14000000,Cap space,"$28,000,000",PF,32,MIN,78,2613,15.4,0.615,0.05,0.253,8,16.5,12.2,5.3,1.1,1.8,9.9,14.6,5.3,1.5,6.8,0.124,1,0.1,1.2,2.1
T.J. Warren,3152931,1st Round Pick,"$50,152,931",SF,24,PHO,65,2142,17.7,0.541,0.085,0.24,6.1,10.6,8.3,7.2,1.5,1.5,6.7,24.9,2.7,0.8,3.5,0.077,-0.1,-1.8,-1.9,0.1
T.J. McConnell,1471382,Minimum Salary,"$1,471,382",PG,25,PHI,72,1651,12.3,0.546,0.148,0.096,2.4,11.5,7.1,24.7,2.6,0.6,20.8,13.8,1.2,2.4,3.6,0.105,-1.9,1.1,-0.7,0.5
T.J. Leaf,2028360,1st Round Pick,"$4,435,920",PF,20,IND,50,428,10.5,0.554,0.322,0.099,6.9,13.4,10.2,2.6,0.6,0.8,7.3,14.2,0.5,0.3,0.7,0.084,-1.9,-2.7,-4.7,-0.3
Steven Adams,22471910,1st Round Pick,"$100,000,000",C,24,OKC,73,2390,20.8,0.628,0.003,0.397,16.9,13.9,15.5,5.5,1.9,2.9,13.3,16.7,6.4,2.9,9.3,0.187,2.2,1.2,3.4,3.3
Sterling Brown,815615,MLE,"$2,193,857",SG,22,MIL,51,728,9.5,0.513,0.44,0.126,4.2,17.6,10.9,4.6,2.1,1.3,10.6,14,0.1,0.7,0.8,0.05,-2.8,-1,-3.8,-0.3
Stephen Curry,34682550,Bird Rights,"$201,158,790",PG,29,GSW,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,8.9,30.2,2.4,0.4,13.3,31,7.2,1.9,9.2,0.27,9.8,-1.2,8.6,4.4
Stanley Johnson,3097800,1st round pick,"$7,038,202",SF,21,DET,65,1773,9.1,0.483,0.418,0.264,1.8,13.2,7.4,8.2,2.6,0.6,11.3,16.4,-0.6,2.3,1.8,0.048,-2.6,1.2,-1.4,0.3
Spencer Dinwiddie,1524305,Minimum Salary,"$1,524,305",PG,24,BRK,77,2217,16,0.526,0.508,0.323,1.9,10.3,6.1,35.1,1.4,0.8,11.6,20.3,4.2,1.3,5.5,0.118,2.1,-1.7,0.4,1.3
Solomon Hill,12236535,Cap Space,"$38,248,244",SF,26,NOP,8,127,6.8,0.385,0.563,0.125,4.4,12.4,8.6,16.9,1.5,0.6,12.9,13.2,-0.1,0.1,0,0.01,-3.1,-0.5,-3.6,-0.1
Skal Labissiere,1312611,1st Round pick,"$2,857,562",PF,21,SAC,60,1240,14.3,0.513,0.111,0.258,8.7,18.2,13.2,9.1,1,3.7,12.5,21.1,0.4,0.9,1.3,0.051,-2.7,0,-2.7,-0.2
Sindarius Thornwell,815615,MLE,"$2,193,857",SG,23,LAC,69,1059,8.1,0.517,0.262,0.383,3.2,10.1,6.7,7,2.1,1.8,15.5,11.6,0.1,0.9,1,0.048,-2.6,1.2,-1.4,0.2
Shelvin Mack,6000000,Cap space,"$6,000,000",PG,27,ORL,65,1283,13.7,0.526,0.332,0.244,1.9,11.9,6.8,29.3,1.9,0.5,16.4,17.5,1.1,1,2,0.076,-1,-1.2,-2.2,-0.1
Shaun Livingston,7692308,Bird Rights,"$18,000,000",PG,32,GSW,68,1081,11.6,0.539,0.012,0.176,3.6,8.9,6.4,16.5,1.5,1.5,13.8,16.5,0.9,1,1.8,0.082,-2.5,-0.8,-3.3,-0.4
Shaquille Harrison,92160,,$0,PG,24,PHO,20,291,15.2,0.534,0.221,0.347,2.5,16.5,9.4,18.1,3.5,1.9,12.7,18.3,0.2,0.3,0.6,0.091,-1.3,1.5,0.2,0.2
Shane Larkin,1524305,Minimum Salary,"$1,524,305",PG,25,BOS,50,686,10.2,0.506,0.387,0.17,2,10.1,6.1,16.3,1.8,0.2,12.2,15.5,0.3,0.9,1.3,0.088,-2.3,0,-2.4,-0.1
Shabazz Napier,2361360,1st Round Pick,"$2,361,360",PG,26,POR,70,1455,14.5,0.553,0.414,0.268,1.8,9.9,5.9,15.1,2.7,0.8,13.8,19.5,1.3,1.9,3.2,0.105,0,0.4,0.4,0.9
Shabazz Muhammad,1577230,,"$1,577,230",SG,25,MIL,9,84,32.7,0.638,0.122,0.163,7.1,22.4,14.7,17.5,2.4,1,1.9,28.9,0.4,0.1,0.5,0.273,5.7,-2,3.7,0.1
Shabazz Muhammad,1577230,,"$1,577,230",SF,25,TOT,41,385,14.4,0.5,0.147,0.229,6,14,10,6.4,1.2,0.7,3.1,22.3,0.3,0.2,0.5,0.064,-2,-3.8,-5.8,-0.4
Shabazz Muhammad,1577230,,"$1,577,230",SF,25,MIN,32,301,9.3,0.446,0.157,0.256,5.7,11.7,8.7,3.4,0.8,0.6,3.6,20.5,0,0.1,0,0.005,-4.2,-4.3,-8.4,-0.5
Serge Ibaka,20061729,Cap space,"$65,000,000",PF,28,TOR,73,2010,14.5,0.569,0.381,0.155,4.3,21.2,12.9,4.4,0.7,3.7,9.6,19.4,1.9,2.8,4.8,0.114,-0.9,0.5,-0.4,0.8
Semi Ojeleye,1291892,,"$2,193,857",PF,23,BOS,69,1049,4,0.448,0.689,0.25,3.7,11,7.4,2.4,1,0.2,10.8,8.7,-0.3,1.2,0.9,0.042,-3.8,0.3,-3.5,-0.4
Sean Kilpatrick,1524305,,"$1,524,305",SG,28,CHI,5,111,13.3,0.501,0.456,0.316,0.9,12,6.3,10.3,0.9,1.6,7.2,27.4,0,0.1,0.1,0.022,-1.9,-3.7,-5.6,-0.1
Sean Kilpatrick,1524305,,"$1,524,305",SG,28,LAC,4,38,10.5,0.503,0.389,0.111,0,5.7,2.9,12.1,0,0,5,22.6,0,0,0,0.031,-2,-5.8,-7.8,-0.1
Sean Kilpatrick,1524305,,"$1,524,305",SG,28,MIL,23,205,11.3,0.515,0.561,0.232,0.6,13.7,7.2,10.9,1.2,0.4,9.1,22,0,0.1,0.1,0.034,-2,-4.2,-6.2,-0.2
Sean Kilpatrick,1524305,,"$1,524,305",SG,28,BRK,16,183,5,0.414,0.494,0.218,0.6,20,10.1,12.6,0.5,0.4,14.4,26.3,-0.5,0.1,-0.4,-0.116,-7,-3.1,-10.2,-0.4
Sean Kilpatrick,1524305,,"$1,524,305",SG,28,TOT,48,537,9.5,0.475,0.5,0.238,0.6,14.9,7.7,11.5,0.8,0.6,10.3,24.6,-0.5,0.3,-0.2,-0.02,-3.7,-3.8,-7.5,-0.7
Scotty Hopson,74159,,$0,SG,28,DAL,1,8,-4.6,0.266,0,2,0,0,0,15.8,0,0,34.7,16.4,0,0,0,-0.237,-14.8,-5.9,-20.7,0
Sam Dekker,1794600,1st Round pick,"$4,554,695",PF,23,LAC,69,817,11.1,0.526,0.251,0.222,5.2,15.5,10.4,6,1.3,0.9,10.3,15.5,0.4,0.6,1.1,0.063,-2.4,-0.9,-3.3,-0.3
Salah Mejri,1471382,Minimum Salary,"$1,471,382",C,31,DAL,61,729,17.8,0.644,0.022,0.482,12.6,25.3,18.8,7.2,1.5,8.2,19,12.8,1.3,1.3,2.7,0.177,-2.1,5.4,3.2,1
Ryan Arcidiacono,0,,$0,PG,23,CHI,20,208,8.1,0.561,0.76,0.24,0.5,6.9,3.6,14.7,2.6,0,20.2,7.3,0.1,0.1,0.3,0.061,-2.9,-0.5,-3.5,-0.1
Ryan Anderson,19578455,Cap Space,"$61,264,636",PF,29,HOU,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.6,4.7,0.131,1.1,-0.8,0.2,1
Russell Westbrook,28530608,Bird Rights,"$186,912,608",PG,29,OKC,77,2801,25,0.528,0.194,0.339,5.4,25.3,15,49.4,2.5,0.6,16.4,34.3,5.5,4.3,9.8,0.168,5.2,3,8.2,7.2
Rudy Gobert,21974719,1st Round Pick,"$97,000,000",C,25,UTA,52,1702,20.9,0.659,0,0.682,10.3,27.5,19,6.7,1.2,6.1,15.5,16.9,4,3.6,7.6,0.214,-0.3,4.5,4.2,2.7
Rudy Gay,8406000,MLE,"$8,406,000",PF,31,SAS,54,1160,17.8,0.545,0.219,0.268,6.7,19.5,13.1,9.5,1.9,2.6,11.6,24.5,0.9,2,2.9,0.121,-0.8,1,0.2,0.6
Royce O'Neale,815615,Cap space,"$815,615",SF,24,UTA,65,1052,10.4,0.521,0.412,0.267,2.7,20.2,11.5,12.3,1.7,1.2,15.1,14.8,0.3,1.7,1.9,0.087,-2.7,1.7,-1.1,0.2
Rondae Hollis-Jefferson,1471382,1st Round pick,"$3,941,739",SF,23,BRK,64,1811,17.3,0.55,0.074,0.436,5.8,19.8,12.7,14.2,1.6,1.7,11.5,22.6,2.3,1.8,4.1,0.108,-1.1,0.9,-0.2,0.8
Ron Baker,4328000,Room Exception,"$4,328,000",SG,24,NYK,29,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.4,20.4,10,0.1,0.4,0.5,0.059,-1.9,0.9,-1,0.1
Rodney Purvis,92160,,$0,SG,23,ORL,12,203,4.1,0.427,0.577,0.127,0,8.2,4.1,7.1,0.7,1.2,9.6,18,-0.3,0.1,-0.3,-0.06,-5,-2.7,-7.7,-0.3
